,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Credit-Card,Phone-No,Address
0,1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,S,441-660-7179,-6826740597,1438 02-New York
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,121-779-9592,-8907531072,4411 kk-Miami
2,3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,S,111-457-6467,-1379047088,7202 klt-Phoenix
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,949-867-3784,-4502296600,1676 kk-Miami
4,5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,S,572-746-4355,-1193203222,5831 ab-Los Angeles
5,6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,Q,662-486-8589,-8641687299,4316 ab-Los Angeles
6,7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,751-941-8057,-1312003805,719 ab-Los Angeles
7,8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,S,395-585-5263,-4371837623,1058 kk-Miami
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,S,862-631-4094,-7642095137,548 klt-Phoenix
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,C,135-340-8490,-5454621341,1213 121-Dallas
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,S,220-740-8033,-9045893331,571 kk-Miami
11,12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,319-452-6217,-4259789963,4449 93-Philadelphia
12,13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,S,427-559-6921,-1167530540,6863 121-Dallas
13,14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,S,872-103-4228,-9003817774,4644 kk-Miami
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,S,615-746-4650,-9449396704,5521 kk-Miami
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,S,893-486-6596,-5724013165,6351 kk-Miami
16,17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Q,797-424-5584,-7092186566,2688 klt-Phoenix
17,18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,S,308-376-5217,-7738172037,2322 kk-Miami
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,S,418-913-1388,-4136493476,8898 klt-Phoenix
19,20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,C,437-808-8596,-8759545020,4478 900-Houston
20,21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,S,891-973-7878,-7549370307,9483 kk-Miami
21,22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,S,967-562-4283,-5816873612,6846 xt-Chicago
22,23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Q,886-817-5709,-5936090857,6584 121-Dallas
23,24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,S,866-304-7624,-3416118514,9675 kk-Miami
