StudentID,Name,Phone,Aadhar,Maths,Science,English,Grade,Address,ExtraColumn
1053,Amit Sharma,+91-3474811143,070543751605,1.0,2.0,35.0, C+,,Y
1073,John Singh,1857186732,299497685522,80.0,,57.0,,Bangalore,Z
1068,Amit Khan,3890163487,545068097070,,,40.0,A,Delhi,Y
1070,Sara Patel,9255122491,322659902712,,,29.0, C+, ,X
1030,Rohit Reddy,+91-5525062737,0989451316,,42.0,24.0,F, ,X
1050,Amit Patel,+91-8323985081,355818580860,7.0,,4.0, A ,,Y
1085,Murtiza Khan,+91-9488749759,844712287116,33.0,68.0,55.0,F,,Z
1051,Kiran Patel,+91-6104862119,7272244114,84.0,,,D,Mumbai,Z
1054,Sara Sharma,+91-4052909846,881640791636,,33.0,54.0,D,Mumbai,
1070,Amit Sharma,01240060,7135745169,,87.0,54.0,B,Hyderabad,
1020,Sara Reddy,+91-6325008758,715400617505,75.0,44.0,,D,Hyderabad,X
1002,Priya Singh,12823162,254908365664,,54.0,,B,Mumbai,Z
1038,Neha Patel,4889713115,817999593075,19.0,43.0,,B,Mumbai,Y
1029,Sneha Reddy,+91-3015605028,4555602117,,40.0,24.0, C+,Delhi,
1044,Sneha Sharma,+91-3156260001,828172159412,,28.0,20.0,D,,Y
1069,Amit Gupta,85236576,0873986782,0.0,23.0,,C,Hyderabad,
1037,Sara Singh,02346127,363153351807,33.0,7.0,41.0,A,Bangalore,Z
1008,Rohit Singh,82922564,2503243505,,2.0,37.0,A,Bangalore,
1058,Amit Sharma,61015959,461210988554,,40.0,47.0, C+,Mumbai,Z
1055,Sara Khan,4817226262,422677000124,4.0,,49.0,A,Mumbai,Y
1074,Ali Sharma,+91-4761682925,5711722575,,,65.0,B,Hyderabad,
1070,Ali Sharma,+91-4851066094,173203230542,,24.0,, A , ,X
1089,Rohit Patel,3559405681,930301253189,,,25.0,F,Bangalore,Y
1016,Amit Reddy,33936422,138093793108,,40.0,, C+, ,
1019,Rohit Singh,+91-1646758760,421617471309,13.0,84.0,9.0,B,Delhi,Y
1062,Neha Reddy,+91-6959580412,4791219234,35.0,28.0,45.0,D,Delhi,Z
1029,Neha Singh,8059842075,316276554040,90.0,20.0,, C+,,Y
1087,Sara Singh,+91-6894764761,9414745950,92.0,46.0,79.0, A ,Mumbai,
1017,Ali Patel,0503394055,4984841671,,93.0,9.0, A ,Hyderabad,
1002,Rohit Patel,+91-9848073000,6016319938,,,46.0,D, ,Z
1011,Ali Gupta,1885403205,598323604059,32.0,,94.0,C,Delhi,X
1052,Sneha Khan,+91-6102655698,1182324063,23.0,67.0,,,Hyderabad,Z
1097,Kiran Patel,+91-4019735468,5250631474,50.0,95.0,, A ,Mumbai,Y
1052,Kiran Singh,+91-4048258346,6003794163,,61.0,43.0,C, ,Y
1091,Amit Singh,+91-3025902148,427211433144,,45.0,, C+,Bangalore,
1066,Neha Gupta,1886369938,221018877350,69.0,68.0,, C+,Mumbai,Z
1100,John Reddy,2441976575,9729968649,3.0,,78.0,C,,Z
1076,Amit Singh,+91-1757637151,332449478234,64.0,,,B,Hyderabad,X
1070,Neha Gupta,+91-1864538548,084552360690,62.0,,54.0,,,Y
1000,Neha Sharma,+91-1985912400,909202275851,76.0,90.0,63.0, C+,,Y
1063,Ali Patel,2151852930,502429382309,,57.0,25.0,D,,Z
1082,Ali Patel,3094890991,600810270208,65.0,11.0,23.0,F, ,X
1100,Amit Patel,5417033758,426721198584,,,,D,Delhi,
1004,Amit Singh,7646447858,1449931687,99.0,69.0,, C+, ,Y
1072,Neha Singh,6372283910,098003624446,17.0,36.0,,, ,
1059,Priya Reddy,4260226949,8416852430,44.0,,28.0,b,Bangalore,X
1004,Sneha Singh,9895836924,8234798125,,46.0,46.0,,Bangalore,X
1098,Ali Sharma,1392594454,8207527368,33.0,84.0,29.0,D, ,X
1098,Neha Khan,0968655170,850935330995,29.0,19.0,10.0, C+,Delhi,X
1078,Sara Patel,3821910965,2130292471,,,34.0,C,Delhi,Y
1083,Murtiza Gupta,+91-6332360253,264895104110,11.0,49.0,24.0,, ,Y
1038,Priya Reddy,4938163932,075657033953,39.0,10.0,,C, ,
1004,Sneha Khan,7599009662,0221801034,94.0,29.0,43.0,B,,Z
1095,Priya Singh,+91-9175258330,562624735043,44.0,27.0,13.0, A ,Delhi,
1016,Kiran Singh,+91-0280701501,572566889092,48.0,,66.0,C,Mumbai,X
1057,Kiran Khan,14119619,962643264131,27.0,61.0,,A,Delhi,Z
1078,Ali Gupta,8196589675,6113270687,,3.0,,A,Bangalore,Y
1013,Neha Patel,8533056162,227330804277,,,42.0,b,,X
1029,Kiran Sharma,+91-4320126145,463473592707,41.0,34.0,47.0, A ,Mumbai,X
1050,Sneha Gupta,+91-5631068941,130766543505,87.0,9.0,46.0,C,Delhi,X
1093,John Reddy,1164496671,383157618158,,48.0,90.0,C,Hyderabad,Z
1099,Rohit Singh,17183782,276619040755,82.0,76.0,38.0,,Bangalore,X
1082,Neha Sharma,+91-4165546520,964217069402,,2.0,92.0,b,,
1042,Priya Gupta,6088966109,770034417716,,58.0,26.0,B,Delhi,X
1059,Sneha Reddy,7684499590,728222493015,50.0,,33.0,B,Hyderabad,Y
1007,Rohit Reddy,5403764860,063738392597,77.0,59.0,11.0, C+,Delhi,Y
1094,Rohit Patel,5423190203,471049297839,,23.0,35.0,b,Bangalore,Y
1081,Sneha Khan,+91-6851376819,550779847506,25.0,,21.0,A,Delhi,X
1013,John Patel,5979614132,083080297621,83.0,,,C, ,Y
1079,Priya Patel,32678763,842373776759,63.0,37.0,,C,Mumbai,X
1069,John Sharma,5622037087,047624999048,100.0,44.0,65.0,F,,Y
